Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
a/c,N,3,"['Ġa', '/', 'c']",2,0.0,668.04,0.77
aband,N,5,['Ġaband'],0,0.8,706.5,0.92
abayed,N,6,"['Ġab', 'ay', 'ed']",2,0.5,689.94,0.87
abbear,N,6,"['Ġab', 'b', 'ear']",2,0.5,560.58,0.95
abbears,N,7,"['Ġab', 'b', 'ears']",2,0.57,611.41,0.98
abbens,N,6,"['Ġab', 'b', 'ens']",2,0.5,598.29,1.0
abchaim,N,7,"['Ġab', 'ch', 'aim']",2,0.57,591.76,1.0
abects,N,6,"['Ġab', 'ects']",1,0.67,635.21,0.98
abeme,N,5,"['Ġab', 'em', 'e']",2,0.4,591.06,0.95
abents,N,6,"['Ġab', 'ents']",1,0.67,690.26,0.98
abests,N,6,"['Ġab', 'ests']",1,0.67,640.55,0.89
abik,N,4,"['Ġab', 'ik']",1,0.5,518.63,1.0
ablobs,N,6,"['Ġab', 'l', 'obs']",2,0.5,585.68,1.0
abme,N,4,"['Ġab', 'me']",1,0.5,532.0,1.0
abne,N,4,"['Ġab', 'ne']",1,0.5,559.13,0.98
abone,N,5,"['Ġab', 'one']",1,0.6,702.03,0.87
abones,N,6,"['Ġab', 'ones']",1,0.67,666.15,0.95
abow,N,4,"['Ġab', 'ow']",1,0.5,699.42,0.89
abran,N,5,"['Ġab', 'ran']",1,0.6,579.66,1.0
abrass,N,6,"['Ġab', 'rass']",1,0.67,660.74,0.92
abrast,N,6,"['Ġab', 'rast']",1,0.67,677.92,0.92
abre,N,4,"['Ġab', 're']",1,0.5,671.21,1.0
abreeves,N,8,"['Ġab', 'ree', 'ves']",2,0.62,666.39,0.8
abroths,N,7,"['Ġab', 'ro', 'ths']",2,0.57,606.58,0.98
abrush,N,6,"['Ġab', 'r', 'ush']",2,0.5,746.56,0.74
abscrict,N,8,"['Ġab', 'sc', 'rict']",2,0.62,771.29,0.97
abscue,N,6,"['Ġab', 'sc', 'ue']",2,0.5,717.69,0.79
abscued,N,7,"['Ġab', 'sc', 'ued']",2,0.57,795.59,0.9
abscusts,N,8,"['Ġab', 'sc', 'ust', 's']",3,0.5,663.85,0.92
absians,N,7,"['Ġabs', 'ians']",1,0.71,697.26,0.92
absidge,N,7,"['Ġabs', 'idge']",1,0.71,633.26,1.0
absigned,N,8,"['Ġabs', 'igned']",1,0.75,722.43,0.79
absincts,N,8,"['Ġabs', 'inct', 's']",2,0.62,732.5,0.7
absipsed,N,8,"['Ġabs', 'ips', 'ed']",2,0.62,567.32,0.97
absirl,N,6,"['Ġabs', 'irl']",1,0.67,571.71,0.98
abslete,N,7,"['Ġabs', 'lete']",1,0.71,671.5,0.85
absletes,N,8,"['Ġabs', 'let', 'es']",2,0.62,648.28,0.98
absord,N,6,"['Ġabs', 'ord']",1,0.67,777.93,0.79
absords,N,7,"['Ġabs', 'ords']",1,0.71,893.5,0.66
absost,N,6,"['Ġabs', 'ost']",1,0.67,689.86,0.97
absosts,N,7,"['Ġabs', 'ost', 's']",2,0.57,612.73,1.0
absount,N,7,"['Ġabs', 'ount']",1,0.71,662.05,0.98
absounts,N,8,"['Ġabs', 'ount', 's']",2,0.62,741.0,0.98
abstrade,N,8,"['Ġabst', 'rade']",1,0.75,733.34,0.95
abstrides,N,9,"['Ġab', 'str', 'ides']",2,0.67,749.09,0.85
abstuened,N,9,"['Ġabst', 'u', 'ened']",2,0.67,652.59,1.0
abstuent,N,8,"['Ġabst', 'u', 'ent']",2,0.62,701.29,0.92
absuse,N,6,"['Ġabs', 'use']",1,0.67,838.12,0.45
absused,N,7,"['Ġabs', 'used']",1,0.71,937.69,0.34
abud,N,4,"['Ġab', 'ud']",1,0.5,630.39,1.0
abusts,N,6,"['Ġab', 'ust', 's']",2,0.5,706.24,0.85
abvid,N,5,"['Ġab', 'v', 'id']",2,0.4,604.72,1.0
abwipt,N,6,"['Ġab', 'w', 'i', 'pt']",3,0.33,539.98,1.0
acaned,N,6,"['Ġac', 'an', 'ed']",2,0.5,585.1,0.98
acax,N,4,"['Ġac', 'ax']",1,0.5,516.16,1.0
accar,N,5,"['Ġacc', 'ar']",1,0.6,635.34,0.98
accars,N,6,"['Ġacc', 'ars']",1,0.67,583.26,0.95
acclo,N,5,"['Ġacc', 'lo']",1,0.6,581.68,1.0
accrieve,N,8,"['Ġacc', 'rie', 've']",2,0.62,637.29,0.92
accrieved,N,9,"['Ġacc', 'rieved']",1,0.78,680.18,0.88
accrond,N,7,"['Ġacc', 'r', 'ond']",2,0.57,632.47,0.98
accubes,N,7,"['Ġacc', 'ub', 'es']",2,0.57,589.63,0.95
accult,N,6,"['Ġacc', 'ult']",1,0.67,808.74,0.74
accune,N,6,"['Ġacc', 'une']",1,0.67,726.62,1.0
accurd,N,6,"['Ġaccur', 'd']",1,0.67,667.48,0.82
accures,N,7,"['Ġacc', 'ures']",1,0.71,806.89,0.53
accusts,N,7,"['Ġacc', 'ust', 's']",2,0.57,701.68,0.88
aced,N,4,"['Ġa', 'ced']",1,0.5,515.0,0.03
achens,N,6,"['Ġac', 'hens']",1,0.67,662.46,0.95
achms,N,5,"['Ġa', 'ch', 'ms']",2,0.4,585.37,1.0
achop,N,5,"['Ġa', 'ch', 'op']",2,0.4,585.39,0.95
aciss,N,5,"['Ġac', 'iss']",1,0.6,574.51,1.0
acive,N,5,"['Ġac', 'ive']",1,0.6,636.42,0.95
acks,N,4,"['Ġac', 'ks']",1,0.5,597.64,1.0
acloot,N,6,"['Ġac', 'l', 'oot']",2,0.5,534.54,0.97
acnant,N,6,"['Ġac', 'n', 'ant']",2,0.5,544.28,1.0
acone,N,5,"['Ġac', 'one']",1,0.6,661.72,0.97
acorked,N,7,"['Ġac', 'ork', 'ed']",2,0.57,602.74,0.97
acqure,N,6,"['Ġacqu', 're']",1,0.67,797.73,0.89
acqured,N,7,"['Ġacqu', 'red']",1,0.71,833.72,0.89
acreds,N,6,"['Ġac', 'red', 's']",2,0.5,631.29,0.97
acruist,N,7,"['Ġac', 'ru', 'ist']",2,0.57,643.45,0.98
acsuakes,N,8,"['Ġac', 's', 'u', 'akes']",3,0.5,582.64,1.0
acter,N,5,"['Ġact', 'er']",1,0.6,821.9,0.5
acters,N,6,"['Ġact', 'ers']",1,0.67,787.91,0.6
actot,N,5,"['Ġact', 'ot']",1,0.6,610.97,0.95
acung,N,5,"['Ġac', 'ung']",1,0.6,563.81,1.0
adaints,N,7,"['Ġad', 'aints']",1,0.71,642.22,1.0
adbells,N,7,"['Ġad', 'bell', 's']",2,0.57,574.81,0.98
adbly,N,5,"['Ġad', 'b', 'ly']",2,0.4,607.84,1.0
adbries,N,7,"['Ġad', 'b', 'ries']",2,0.57,602.46,1.0
adbu,N,4,"['Ġad', 'b', 'u']",2,0.25,541.92,1.0
adbys,N,5,"['Ġad', 'b', 'ys']",2,0.4,541.7,0.97
adcorb,N,6,"['Ġad', 'c', 'or', 'b']",3,0.33,609.51,1.0
adcorbs,N,7,"['Ġad', 'c', 'or', 'bs']",3,0.43,607.72,1.0
adcorts,N,7,"['Ġad', 'c', 'orts']",2,0.57,604.78,0.98
addal,N,5,"['Ġadd', 'al']",1,0.6,591.97,1.0
addaled,N,7,"['Ġadd', 'aled']",1,0.71,671.53,0.98
addave,N,6,"['Ġadd', 'ave']",1,0.67,599.15,1.0
adday,N,5,"['Ġadd', 'ay']",1,0.6,635.06,0.92
addeared,N,8,"['Ġadd', 'eared']",1,0.75,658.59,0.78
addend,N,6,"['Ġadd', 'end']",1,0.67,680.94,0.92
addends,N,7,"['Ġadd', 'ends']",1,0.71,666.84,0.84
addralt,N,7,"['Ġadd', 'ral', 't']",2,0.57,620.76,1.0
addre,N,5,"['Ġadd', 're']",1,0.6,556.22,1.0
addume,N,6,"['Ġadd', 'ume']",1,0.67,627.68,1.0
addunds,N,7,"['Ġad', 'du', 'nd', 's']",3,0.43,634.16,0.97
addured,N,7,"['Ġadd', 'ured']",1,0.71,688.17,0.82
addushed,N,8,"['Ġadd', 'ushed']",1,0.75,659.53,1.0
adeen,N,5,"['Ġad', 'een']",1,0.6,636.42,1.0
adfle,N,5,"['Ġad', 'f', 'le']",2,0.4,525.95,1.0
adfler,N,6,"['Ġad', 'f', 'ler']",2,0.5,567.05,1.0
adfles,N,6,"['Ġad', 'f', 'les']",2,0.5,564.0,1.0
adhands,N,7,"['Ġad', 'h', 'ands']",2,0.57,634.51,0.98
adhirds,N,7,"['Ġad', 'h', 'irds']",2,0.57,680.45,0.98
adhist,N,6,"['Ġad', 'h', 'ist']",2,0.5,670.28,0.98
adiffs,N,6,"['Ġad', 'iff', 's']",2,0.5,558.92,1.0
adle,N,4,"['Ġad', 'le']",1,0.5,710.69,0.7
adlears,N,7,"['Ġad', 'le', 'ars']",2,0.57,622.74,1.0
adleys,N,6,"['Ġad', 'leys']",1,0.67,609.58,1.0
adloss,N,6,"['Ġad', 'l', 'oss']",2,0.5,591.3,1.0
adly,N,4,"['Ġad', 'ly']",1,0.5,650.5,0.98
admar,N,5,"['Ġad', 'mar']",1,0.6,562.56,1.0
admueurs,N,8,"['Ġadm', 'ue', 'urs']",2,0.62,600.62,1.0
admuffs,N,7,"['Ġadm', 'uff', 's']",2,0.57,679.13,1.0
admugned,N,8,"['Ġadm', 'ug', 'ned']",2,0.62,648.45,1.0
admunds,N,7,"['Ġadm', 'und', 's']",2,0.57,661.49,0.98
admurst,N,7,"['Ġadm', 'ur', 'st']",2,0.57,655.3,1.0
adom,N,4,"['Ġad', 'om']",1,0.5,615.21,0.95
adsen,N,5,"['Ġad', 'sen']",1,0.6,585.54,1.0
adstied,N,7,"['Ġad', 'st', 'ied']",2,0.57,694.92,1.0
adter,N,5,"['Ġad', 'ter']",1,0.6,565.84,1.0
advioned,N,8,"['Ġadv', 'ioned']",1,0.75,661.86,1.0
adwocked,N,8,"['Ġad', 'w', 'ocked']",2,0.62,606.15,1.0
adwoke,N,6,"['Ġad', 'w', 'oke']",2,0.5,600.27,0.97
adwolds,N,7,"['Ġad', 'w', 'old', 's']",3,0.43,617.05,1.0
adwosks,N,7,"['Ġad', 'w', 'os', 'ks']",3,0.43,582.67,1.0
adwouched,N,9,"['Ġad', 'w', 'ou', 'ched']",3,0.56,632.37,1.0
adwourts,N,8,"['Ġad', 'w', 'our', 'ts']",3,0.5,608.76,1.0
aecher,N,6,"['Ġa', 'ec', 'her']",2,0.5,555.28,1.0
aekom,N,5,"['Ġa', 'ek', 'om']",2,0.4,560.42,1.0
aertion,N,7,"['Ġa', 'ert', 'ion']",2,0.57,581.34,0.97
aesful,N,6,"['Ġa', 'es', 'ful']",2,0.5,559.23,0.98
afalt,N,5,"['Ġaf', 'alt']",1,0.6,558.3,1.0
afas,N,4,"['Ġaf', 'as']",1,0.5,561.63,1.0
afed,N,4,"['Ġaf', 'ed']",1,0.5,564.97,1.0
afel,N,4,"['Ġaf', 'el']",1,0.5,537.61,0.97
afept,N,5,"['Ġa', 'fe', 'pt']",2,0.4,562.97,0.98
afepts,N,6,"['Ġa', 'fe', 'pt', 's']",3,0.33,539.28,1.0
aferes,N,6,"['Ġa', 'fere', 's']",2,0.5,535.23,0.98
aferned,N,7,"['Ġaf', 'ern', 'ed']",2,0.57,647.56,0.98
afes,N,4,"['Ġaf', 'es']",1,0.5,561.44,1.0
affeal,N,6,"['Ġaff', 'eal']",1,0.67,664.11,0.92
affecks,N,7,"['Ġaff', 'ec', 'ks']",2,0.57,721.91,0.87
affelts,N,7,"['Ġaff', 'el', 'ts']",2,0.57,548.22,1.0
affends,N,7,"['Ġaff', 'ends']",1,0.71,697.44,0.75
afflane,N,7,"['Ġaff', 'l', 'ane']",2,0.57,614.0,0.89
afflarts,N,8,"['Ġaff', 'l', 'arts']",2,0.62,618.05,1.0
affolds,N,7,"['Ġaff', 'old', 's']",2,0.57,713.03,0.84
affope,N,6,"['Ġaff', 'ope']",1,0.67,564.15,1.0
afforts,N,7,"['Ġaff', 'orts']",1,0.71,763.75,0.8
affranes,N,8,"['Ġaff', 'ran', 'es']",2,0.62,616.7,0.97
affrins,N,7,"['Ġaff', 'r', 'ins']",2,0.57,652.88,1.0
affrows,N,7,"['Ġaff', 'rows']",1,0.71,617.69,0.95
affug,N,5,"['Ġaff', 'ug']",1,0.6,537.75,1.0
affund,N,6,"['Ġaff', 'und']",1,0.67,633.97,1.0
affurned,N,8,"['Ġaff', 'urn', 'ed']",2,0.62,609.81,0.98
affuse,N,6,"['Ġaff', 'use']",1,0.67,670.44,0.79
affuth,N,6,"['Ġaff', 'uth']",1,0.67,555.85,1.0
afia,N,4,"['Ġaf', 'ia']",1,0.5,612.31,0.97
afoins,N,6,"['Ġaf', 'o', 'ins']",2,0.5,557.78,1.0
afoods,N,6,"['Ġaf', 'ood', 's']",2,0.5,585.03,1.0
afoys,N,5,"['Ġaf', 'oys']",1,0.6,547.24,0.98
afress,N,6,"['Ġaf', 'ress']",1,0.67,582.28,1.0
afrome,N,6,"['Ġaf', 'rome']",1,0.67,592.1,1.0
afrons,N,6,"['Ġaf', 'rons']",1,0.67,691.6,0.9
afrorm,N,6,"['Ġaf', 'r', 'orm']",2,0.5,655.62,0.98
afstint,N,7,"['Ġaf', 'st', 'int']",2,0.57,532.1,1.0
aftus,N,5,"['Ġa', 'ft', 'us']",2,0.4,545.38,1.0
agbuct,N,6,"['Ġag', 'b', 'uct']",2,0.5,602.06,0.95
agelier,N,7,"['Ġag', 'el', 'ier']",2,0.57,736.78,1.0
agemess,N,7,"['Ġage', 'm', 'ess']",2,0.57,679.68,1.0
agfor,N,5,"['Ġag', 'for']",1,0.6,548.95,1.0
agfors,N,6,"['Ġag', 'f', 'ors']",2,0.5,539.55,1.0
aggect,N,6,"['Ġag', 'ge', 'ct']",2,0.5,596.92,1.0
aggess,N,6,"['Ġag', 'g', 'ess']",2,0.5,591.85,0.92
aggey,N,5,"['Ġag', 'ge', 'y']",2,0.4,626.95,1.0
aggeys,N,6,"['Ġag', 'ge', 'ys']",2,0.5,551.78,1.0
aggraimed,N,9,"['Ġag', 'gra', 'im', 'ed']",3,0.56,658.58,1.0
aggraims,N,8,"['Ġag', 'gra', 'im', 's']",3,0.5,643.46,1.0
aggrues,N,7,"['Ġag', 'g', 'ru', 'es']",3,0.43,679.75,0.95
aghect,N,6,"['Ġag', 'he', 'ct']",2,0.5,544.65,1.0
aghonced,N,8,"['Ġa', 'gh', 'on', 'ced']",3,0.5,560.95,1.0
agift,N,5,"['Ġag', 'ift']",1,0.6,652.38,0.97
agims,N,5,"['Ġag', 'im', 's']",2,0.4,550.95,1.0
agincts,N,7,"['Ġag', 'inct', 's']",2,0.57,595.9,1.0
agive,N,5,"['Ġag', 'ive']",1,0.6,644.72,1.0
agix,N,4,"['Ġag', 'ix']",1,0.5,577.87,1.0
agler,N,5,"['Ġag', 'ler']",1,0.6,639.49,0.97
agok,N,4,"['Ġag', 'ok']",1,0.5,573.68,0.97
agope,N,5,"['Ġag', 'ope']",1,0.6,599.38,0.98
agright,N,7,"['Ġag', 'right']",1,0.71,693.71,1.0
agshess,N,7,"['Ġag', 's', 'hes', 's']",3,0.43,600.73,1.0
agstess,N,7,"['Ġag', 'st', 'ess']",2,0.57,587.44,0.98
agtrain,N,7,"['Ġag', 't', 'rain']",2,0.57,625.95,1.0
agtrained,N,9,"['Ġag', 't', 'rained']",2,0.67,650.52,1.0
agur,N,4,"['Ġag', 'ur']",1,0.5,618.79,0.85
ahoits,N,6,"['Ġa', 'ho', 'its']",2,0.5,565.43,1.0
ahokes,N,6,"['Ġa', 'h', 'okes']",2,0.5,611.37,1.0
ahor,N,4,"['Ġa', 'hor']",1,0.5,606.63,0.95
ahord,N,5,"['Ġa', 'h', 'ord']",2,0.4,611.81,0.98
ahords,N,6,"['Ġa', 'h', 'ords']",2,0.5,612.18,0.95
ahries,N,6,"['Ġa', 'h', 'ries']",2,0.5,555.47,1.0
ahun,N,4,"['Ġa', 'h', 'un']",2,0.25,585.02,1.0
aice,N,4,"['Ġa', 'ice']",1,0.5,611.17,1.0
aices,N,5,"['Ġa', 'ices']",1,0.6,599.32,1.0
aicipes,N,7,"['Ġa', 'icip', 'es']",2,0.57,566.43,0.97
aier,N,4,"['Ġa', 'ier']",1,0.5,563.76,1.0
aight,N,5,"['Ġa', 'ight']",1,0.6,728.25,0.95
aights,N,6,"['Ġa', 'ights']",1,0.67,694.39,0.92
ailpay,N,6,"['Ġa', 'il', 'p', 'ay']",3,0.33,612.08,1.0
ailpays,N,7,"['Ġa', 'il', 'p', 'ays']",3,0.43,682.45,1.0
ainfogue,N,8,"['Ġa', 'in', 'f', 'og', 'ue']",4,0.38,602.15,1.0
ainlibes,N,8,"['Ġa', 'in', 'l', 'ib', 'es']",4,0.38,568.58,1.0
ains,N,4,"['Ġa', 'ins']",1,0.5,637.21,0.95
aints,N,5,"['Ġa', 'int', 's']",2,0.4,655.97,0.92
aipse,N,5,"['Ġa', 'ip', 'se']",2,0.4,559.0,0.95
aipsed,N,6,"['Ġa', 'ips', 'ed']",2,0.5,597.47,1.0
airclaps,N,8,"['Ġair', 'cl', 'aps']",2,0.62,679.23,0.9
airclime,N,8,"['Ġair', 'cl', 'ime']",2,0.62,638.74,1.0
airclimes,N,9,"['Ġair', 'cl', 'imes']",2,0.67,656.49,0.97
airclip,N,7,"['Ġair', 'cl', 'ip']",2,0.57,784.29,0.66
aircul,N,6,"['Ġair', 'cul']",1,0.67,662.92,1.0
airdess,N,7,"['Ġa', 'ird', 'ess']",2,0.57,707.68,0.95
airdraw,N,7,"['Ġa', 'ird', 'raw']",2,0.57,703.65,0.8
airdraws,N,8,"['Ġa', 'ird', 'raw', 's']",3,0.5,751.83,0.79
airflails,N,9,"['Ġair', 'fl', 'ails']",2,0.67,713.84,1.0
airflift,N,8,"['Ġair', 'fl', 'ift']",2,0.62,937.0,0.45
airgroin,N,8,"['Ġair', 'g', 'ro', 'in']",3,0.5,659.52,1.0
airguild,N,8,"['Ġair', 'g', 'uild']",2,0.62,767.89,0.95
airguilds,N,9,"['Ġair', 'g', 'uild', 's']",3,0.56,763.82,0.92
airn,N,4,"['Ġair', 'n']",1,0.5,619.61,1.0
airnos,N,6,"['Ġair', 'n', 'os']",2,0.5,612.5,1.0
airplop,N,7,"['Ġair', 'pl', 'op']",2,0.57,708.31,0.92
airshall,N,8,"['Ġair', 'sh', 'all']",2,0.62,670.08,0.95
airsouth,N,8,"['Ġair', 's', 'outh']",2,0.62,660.35,0.98
airstares,N,9,"['Ġa', 'irst', 'ares']",2,0.67,713.22,0.95
airstash,N,8,"['Ġa', 'irst', 'ash']",2,0.62,757.75,0.97
airstay,N,7,"['Ġa', 'irst', 'ay']",2,0.57,848.55,0.82
airstrums,N,9,"['Ġa', 'irst', 'rum', 's']",3,0.56,747.12,0.88
aistnale,N,8,"['Ġa', 'ist', 'n', 'ale']",3,0.5,578.13,1.0
aists,N,5,"['Ġa', 'ists']",1,0.6,575.38,1.0
aiths,N,5,"['Ġa', 'ith', 's']",2,0.4,538.42,1.0
aits,N,4,"['Ġa', 'its']",1,0.5,564.78,0.97
aive,N,4,"['Ġa', 'ive']",1,0.5,607.36,0.99
aives,N,5,"['Ġa', 'ives']",1,0.6,579.05,0.97
aize,N,4,"['Ġa', 'ize']",1,0.5,588.67,1.0
ajeqous,N,7,"['Ġa', 'j', 'e', 'q', 'ous']",4,0.29,623.05,1.0
ajoin,N,5,"['Ġa', 'jo', 'in']",2,0.4,751.89,0.48
akcul,N,5,"['Ġa', 'k', 'cul']",2,0.4,535.18,0.98
akde,N,4,"['Ġa', 'k', 'de']",2,0.25,536.4,1.0
akes,N,4,"['Ġa', 'kes']",1,0.5,599.85,1.0
akhs,N,4,"['Ġa', 'k', 'h', 's']",3,0.0,571.72,0.98
akrade,N,6,"['Ġa', 'k', 'rade']",2,0.5,620.92,1.0
alade,N,5,"['Ġal', 'ade']",1,0.6,621.54,0.98
alamp,N,5,"['Ġal', 'amp']",1,0.6,595.78,1.0
alap,N,4,"['Ġal', 'ap']",1,0.5,638.0,0.92
alaves,N,6,"['Ġal', 'aves']",1,0.67,570.77,0.98
alawn,N,5,"['Ġal', 'awn']",1,0.6,629.32,1.0
albole,N,6,"['Ġalb', 'ole']",1,0.67,588.13,1.0
albolls,N,7,"['Ġalb', 'oll', 's']",2,0.57,539.05,0.98
albust,N,6,"['Ġalb', 'ust']",1,0.67,637.22,1.0
alcas,N,5,"['Ġal', 'c', 'as']",2,0.4,591.81,1.0
alcimin,N,7,"['Ġal', 'c', 'im', 'in']",3,0.43,624.42,1.0
alcirans,N,8,"['Ġal', 'c', 'ir', 'ans']",3,0.5,591.08,1.0
aldims,N,6,"['Ġal', 'd', 'im', 's']",3,0.33,610.92,1.0
alesray,N,7,"['Ġal', 'es', 'ray']",2,0.57,669.79,1.0
alfives,N,7,"['Ġal', 'f', 'ives']",2,0.57,597.56,1.0
alfpard,N,7,"['Ġal', 'f', 'p', 'ard']",3,0.43,579.25,1.0
aliels,N,6,"['Ġal', 'iel', 's']",2,0.5,633.25,0.97
alked,N,5,"['Ġal', 'k', 'ed']",2,0.4,562.19,0.97
alkoe,N,5,"['Ġal', 'k', 'oe']",2,0.4,548.03,1.0
alks,N,4,"['Ġal', 'ks']",1,0.5,543.77,0.97
allaced,N,7,"['Ġall', 'aced']",1,0.71,691.08,0.95
allahed,N,7,"['Ġall', 'a', 'hed']",2,0.57,558.6,1.0
allald,N,6,"['Ġall', 'ald']",1,0.67,534.65,1.0
allaled,N,7,"['Ġall', 'aled']",1,0.71,632.11,0.97
allape,N,6,"['Ġall', 'ape']",1,0.67,619.61,1.0
allaps,N,6,"['Ġall', 'aps']",1,0.67,565.08,0.95
allar,N,5,"['Ġall', 'ar']",1,0.6,681.68,0.92
alldess,N,7,"['Ġal', 'ld', 'ess']",2,0.57,595.15,1.0
alldets,N,7,"['Ġal', 'ld', 'ets']",2,0.57,593.58,1.0
allim,N,5,"['Ġall', 'im']",1,0.6,611.68,0.97
allint,N,6,"['Ġall', 'int']",1,0.67,597.11,1.0
allired,N,7,"['Ġall', 'ired']",1,0.71,610.13,1.0
allob,N,5,"['Ġall', 'ob']",1,0.6,548.62,1.0
allops,N,6,"['Ġall', 'ops']",1,0.67,605.55,0.98
allou,N,5,"['Ġall', 'ou']",1,0.6,575.22,1.0
allound,N,7,"['Ġall', 'ound']",1,0.71,736.34,0.98
allsit,N,6,"['Ġall', 's', 'it']",2,0.5,610.6,0.92
allye,N,5,"['Ġal', 'ly', 'e']",2,0.4,548.11,1.0
almed,N,5,"['Ġal', 'med']",1,0.6,629.41,0.92
almstreck,N,9,"['Ġal', 'm', 'st', 're', 'ck']",4,0.44,588.5,1.0
aloid,N,5,"['Ġal', 'oid']",1,0.6,598.19,0.97
aloiled,N,7,"['Ġal', 'o', 'iled']",2,0.57,665.46,1.0
alolds,N,6,"['Ġal', 'old', 's']",2,0.5,575.63,1.0
alord,N,5,"['Ġal', 'ord']",1,0.6,688.0,0.88
aloss,N,5,"['Ġal', 'oss']",1,0.6,713.58,0.92
alped,N,5,"['Ġal', 'ped']",1,0.6,659.52,0.78
alpen,N,5,"['Ġal', 'pen']",1,0.6,685.0,0.28
alping,N,6,"['Ġal', 'ping']",1,0.67,738.93,0.8
alsehorts,N,9,"['Ġal', 'se', 'h', 'orts']",3,0.56,659.28,1.0
alspouch,N,8,"['Ġal', 'sp', 'ou', 'ch']",3,0.5,632.0,1.0
alsund,N,6,"['Ġal', 's', 'und']",2,0.5,571.95,1.0
alsunds,N,7,"['Ġal', 's', 'und', 's']",3,0.43,583.06,1.0
althos,N,6,"['Ġal', 'th', 'os']",2,0.5,598.7,0.95
altzed,N,6,"['Ġalt', 'zed']",1,0.67,601.24,0.99
alvim,N,5,"['Ġal', 'v', 'im']",2,0.4,556.29,1.0
alylls,N,6,"['Ġa', 'ly', 'll', 's']",3,0.33,597.11,1.0
amape,N,5,"['Ġam', 'ape']",1,0.6,645.57,1.0
amately,N,7,"['Ġam', 'ately']",1,0.71,711.4,1.0
amaus,N,5,"['Ġam', 'aus']",1,0.6,555.63,0.98
ambent,N,6,"['Ġamb', 'ent']",1,0.67,731.06,0.88
ambents,N,7,"['Ġamb', 'ents']",1,0.71,686.19,0.84
ambert,N,6,"['Ġam', 'bert']",1,0.67,646.46,1.0
amberts,N,7,"['Ġam', 'ber', 'ts']",2,0.57,626.84,0.98
ambess,N,6,"['Ġamb', 'ess']",1,0.67,633.65,1.0
ambessed,N,8,"['Ġamb', 'ess', 'ed']",2,0.62,750.31,0.95
ambets,N,6,"['Ġamb', 'ets']",1,0.67,640.11,0.92
ambic,N,5,"['Ġamb', 'ic']",1,0.6,645.06,0.9
ambind,N,6,"['Ġamb', 'ind']",1,0.67,637.85,1.0
ambs,N,4,"['Ġam', 'bs']",1,0.5,623.95,1.0
amcars,N,6,"['Ġam', 'c', 'ars']",2,0.5,565.51,0.98
amed,N,4,"['Ġam', 'ed']",1,0.5,662.93,0.91
ameg,N,4,"['Ġam', 'eg']",1,0.5,559.24,0.98
ameshed,N,7,"['Ġam', 'es', 'hed']",2,0.57,650.8,0.87
amett,N,5,"['Ġam', 'ett']",1,0.6,593.37,1.0
amhance,N,7,"['Ġam', 'h', 'ance']",2,0.57,718.68,1.0
amho,N,4,"['Ġam', 'ho']",1,0.5,561.76,0.97
amiance,N,7,"['Ġam', 'iance']",1,0.71,728.35,0.85
amias,N,5,"['Ġam', 'ias']",1,0.6,635.23,0.98
amibed,N,6,"['Ġam', 'ib', 'ed']",2,0.5,596.31,0.98
amion,N,5,"['Ġam', 'ion']",1,0.6,608.54,0.98
amiques,N,7,"['Ġam', 'iqu', 'es']",2,0.57,653.16,0.92
amise,N,5,"['Ġam', 'ise']",1,0.6,671.32,0.84
amives,N,6,"['Ġam', 'ives']",1,0.67,573.39,1.0
amler,N,5,"['Ġam', 'ler']",1,0.6,624.66,1.0
amlers,N,6,"['Ġam', 'lers']",1,0.67,625.78,1.0
amlo,N,4,"['Ġam', 'lo']",1,0.5,535.15,1.0
amlos,N,5,"['Ġam', 'l', 'os']",2,0.4,547.74,1.0
ammedes,N,7,"['Ġam', 'med', 'es']",2,0.57,639.64,0.98
ammet,N,5,"['Ġam', 'met']",1,0.6,603.97,1.0
ammete,N,6,"['Ġam', 'met', 'e']",2,0.5,643.55,0.98
ammict,N,6,"['Ġam', 'm', 'ict']",2,0.5,557.13,1.0
amna,N,4,"['Ġam', 'na']",1,0.5,559.76,0.98
amning,N,6,"['Ġam', 'ning']",1,0.67,618.1,1.0
amns,N,4,"['Ġam', 'ns']",1,0.5,604.54,1.0
amom,N,4,"['Ġam', 'om']",1,0.5,694.59,0.98
amoubt,N,6,"['Ġam', 'oub', 't']",2,0.5,636.31,0.98
ampaigns,N,8,"['Ġam', 'p', 'aign', 's']",3,0.5,612.55,1.0
ampgrair,N,8,"['Ġam', 'p', 'gra', 'ir']",3,0.5,612.21,1.0
ampgrairs,N,9,"['Ġam', 'p', 'gra', 'irs']",3,0.56,624.18,1.0
ampist,N,6,"['Ġam', 'p', 'ist']",2,0.5,718.37,0.95
ampiste,N,7,"['Ġam', 'p', 'ist', 'e']",3,0.43,615.36,1.0
amplal,N,6,"['Ġampl', 'al']",1,0.67,578.55,1.0
amrays,N,6,"['Ġam', 'rays']",1,0.67,614.75,0.97
amsha,N,5,"['Ġam', 'sh', 'a']",2,0.4,527.84,1.0
amsice,N,6,"['Ġam', 's', 'ice']",2,0.5,542.98,1.0
amsine,N,6,"['Ġam', 's', 'ine']",2,0.5,583.46,0.98
amtan,N,5,"['Ġam', 't', 'an']",2,0.4,554.22,1.0
